Reference,Value,Datasheet,Footprint,Qty,DNP,In Cart,Notes
"C1,C2,C4,C10,C13,C15,C16,C18",100nF,~,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,8,,,
"C3,C5",10uF,~,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,2,,20,
C6,470uF,~,Capacitor_THT:CP_Radial_D12.5mm_P5.00mm,1,,10,
"C7,C8,C11,C12",220nF,~,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,4,,50,
"C9,C14",1nF,~,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,2,,20,
C17,22uF,~,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,1,,10,
C19,1uF,~,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,1,,10,
C20,47nF,~,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,1,,10,
"D1,D2",R,https://www.we-online.com/components/products/datasheet/150080SS75000.pdf,LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,2,,20,
D3,CLP6C-FKB-CKNPRGJBB7A363,CLP6C-FKB-CKNPRGJBB7A363,CLP6C-FKB-CKNPRGJBB7A363:CLP6C-FKB-CKNPRGJBB7A363_CRE,1,,10,
J1,USB_B_Micro,https://www.digikey.com/en/products/detail/amphenol-cs-fci/10118193-0001LF/2785388,Connector_USB:USB_Micro-B_Amphenol_10118193-0001LF_Horizontal,1,,10,
J2,RJ45,,54601-908WPLF:AMPHENOL_54601-908WPLF,1,,,
J6,XT30PW-M,,Connector_AMASS:AMASS_XT30PW-M_1x02_P2.50mm_Horizontal,1,,20,
J7,XT30PW-F,,XT30PW-F:AMASS_XT30PW-F,1,,20,
J9,B4B-XH-A_LF__SN_,http://www.jst-mfg.com/product/pdf/eng/eXH.pdf,Connector_JST:JST_PH_B4B-PH-SM4-TB_1x04-1MP_P2.00mm_Vertical,1,,10,
"R1,R2,R5,R6,R11,R12,R14",1k,~,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,7,,70,
"R3,R4",60,~,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,2,,20,
"R7,R8,R9,R10,R13",10k,~,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,5,,50,
"SW1,SW2",TS09-63-25-WT-160-SMT-TR,TS09-63-25-WT-160-SMT-TR,TS09_63_25_WT_160_SMT_TR:SW_TS09-63-25_CUD,2,,20,
U1,~,150-SMDB03CE3/TR7TR-ND,Package_SO:SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm,1,,10,
U2,TJA1050T_CM_118,,TJA1050T_CM_118:SOIC127P600X175-8N,1,,20 + 10,
U3,AZ1117ID-3.3TRG1,AZ1117ID-3.3TRG1,LDO_AZ1117ID-3.3TRG1:TO252-2_AZ1117ID-3.3TRG1_DIO,1,,10,
"U4,U5",BTN8962TA,,footprints:PG-TO263-7-1_INF-M,2,,,
U6,ESP32-S3-WROOM-1,https://www.espressif.com/sites/default/files/documentation/esp32-s3-wroom-1_wroom-1u_datasheet_en.pdf,RF_Module:ESP32-S3-WROOM-1,1,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Drive27A|,,,,,,,
