"Reference","Value","Footprint","Qty","DNP","Digikey","Description"
"C1,C2,C4,C6,C10","100nF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","5","","","Unpolarized capacitor"
"C3,C5,C7,C8,C9","10uF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","5","","","Unpolarized capacitor"
"C11","1uF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","1","","","Unpolarized capacitor"
"C12","1n","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","1","","","Unpolarized capacitor"
"D1","R","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","1","","","Light emitting diode"
"D2","G","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","1","","","Light emitting diode"
"D3","CVJ10F30","RoverFootprint:Diode_schottky-CVJ10F30","1","","",""
"G1,G3","CONN_MOLEX","","2","","TODO,https://www.digikey.com/en/products/detail/molex/0039012080/61382",""
"G2,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16,G17,G18","CRIMP","","16","","TODO,https://www.digikey.com/en/products/detail/molex/0039000038/413211",""
"J1,J2","Eth-Horiz","RoverFootprint:Ethernet_Horizontal","2","","","RJ connector, 8P8C (8 positions 8 connected), RJ31/RJ32/RJ33/RJ34/RJ35/RJ41/RJ45/RJ49/RJ61"
"J3","USB_C_USB4105-GF-A","Connector_USB:USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal","1","","","USB 2.0-only 16P Type-C Receptacle connector"
"J4","CONN-MOLEX_8PIN-39301080","RoverFootprint:CONN-MOLEX_8PIN-39301080","1","","",""
"R1,R2","1k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","2","","","Resistor"
"R3,R4","5k1","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","2","","","Resistor"
"R5,R6","0","Resistor_SMD:R_0603_1608Metric_Pad0.98x0.95mm_HandSolder","2","","","Resistor"
"R7","10k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1","","","Resistor"
"SW1,SW2","SW-PTS815SJM250SMTRLFS","RoverFootprint:SW-PTS815 SJM250SMTRLFS","2","","","Push button switch"
"U1","SN65HVD232","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","1","","","CAN Transceiver"
"U2","TVS","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","1","","",""
"U3","LDO-LM7805MPX/NOPB","Package_TO_SOT_SMD:TO-263-3_TabPin2","1","","https://www.digikey.ca/en/products/detail/texas-instruments/LM1084ISX-3-3-NOPB/366706",""
"U4","SP3485EN","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","1","","",""
"U5","ESP32-S3-WROVER","RF_Module:ESP32-S3-WROOM-1U","1","","","RF Module, ESP32-S3 SoC, Wi-Fi 802.11b/g/n, Bluetooth, BLE, 32-bit, 3.3V, onboard antenna, SMD"
"U7","AXP1T34","Package_TO_SOT_SMD:SOT-353_SC-70-5","1","","",""
