Reference,Value,Datasheet,Footprint,Qty,DNP,
C1,XT60PW-M,,Connector_AMASS:AMASS_XT60PW-M_1x02_P7.20mm_Horizontal,1,,25
D1,B,~,LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,,4
D2,R,~,LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,,4
D_IN_1,RJ45,~,54601-908WPLF:AMPHENOL_54601-908WPLF,1,,12
"D_OUT_1,D_OUT_2",RJ45,~,54601-908WPLF:AMPHENOL_54601-908WPLF,2,,n/a
"F1,F2",3555-2,3555-2,3555-2_KEY,2,,8 + 8
"J1,J2",XT30PW-F,,Connector_AMASS:AMASS_XT30PW-F_1x02_P2.50mm_Horizontal,2,,20
"R1,R2",10k,~,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,2,,10
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Rock.|,,,,,,
