"Reference","Value","Footprint","Qty","Digikey","Description"
"D1,D3","BZV55B5V6","Diode_SMD:D_MiniMELF","2","","5.6V, 500mW, 2%, Zener diode, MiniMELF"
"D2","R","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","1","","Light emitting diode"
"F1","2A","RoverFootprint:FUSE_3568-20","1","","Fuseholder through hole, 30A max"
"G1,G3","PHR-3","","2","https://www.digikey.ca/en/products/detail/jst-sales-america-inc/PHR-3/527357",""
"G2","PHR-2","","1","https://www.digikey.ca/en/products/detail/jst-sales-america-inc/PHR-2/608607",""
"G4","PHR-4","","1","https://www.digikey.ca/en/products/detail/jst-sales-america-inc/PHR-4/608606",""
"G5","PHR-6","","1","https://www.digikey.ca/en/products/detail/jst-sales-america-inc/PHR-6/608604",""
"J2","JST4_Pin","Connector_JST:JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical","1","",""
"J3","JST6_Pin","Connector_JST:JST_PH_B6B-PH-K_1x06_P2.00mm_Vertical","1","",""
"J4,J5","JST3_Pin","Connector_JST:JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical","2","",""
"J6","JST2_Pin","Connector_JST:JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical","1","",""
"R1,R4","20k","Resistor_SMD:R_0805_2012Metric","2","","Resistor"
"R2,R3","100k","Resistor_SMD:R_0805_2012Metric","2","","Resistor"
"R5","1K","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1","","Resistor"
"U1","XT60PW-M","RoverFootprint:AMASS_XT60PW-M_1x02_P7.20mm_Horizontal","1","",""
