"Reference","Value","Datasheet","Footprint","Qty"
"C1","22uF","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","1"
"C2,C4,C5,C8","100nF","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","4"
"C3","1uF","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","1"
"C6,C7","10uF","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","2"
"D1,D2","R","https://www.we-online.com/components/products/datasheet/150080SS75000.pdf","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","2"
"J1","USB_B_Micro","https://www.digikey.com/en/products/detail/amphenol-cs-fci/10118193-0001LF/2785388","Connector_USB:USB_Micro-B_Amphenol_10118193-0001LF_Horizontal","1"
"J2,J3","RJ45","~","54601-908WPLF:AMPHENOL_54601-908WPLF","2"
"R1","10K TBV","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1"
"R2,R3","1k","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","2"
"SW1,SW2","TS09-63-25-WT-160-SMT-TR","TS09-63-25-WT-160-SMT-TR","TS09_63_25_WT_160_SMT_TR:SW_TS09-63-25_CUD","2"
"U1","ESP32-S3-WROOM-1","https://www.espressif.com/sites/default/files/documentation/esp32-s3-wroom-1_wroom-1u_datasheet_en.pdf","RF_Module:ESP32-S3-WROOM-1","1"
"U2","AZ1117ID-3.3TRG1","AZ1117ID-3.3TRG1","LDO_AZ1117ID-3.3TRG1:TO252-2_AZ1117ID-3.3TRG1_DIO","1"
"U3","TJA1050T_CM_118","","TJA1050T_CM_118:SOIC127P600X175-8N","1"
"U4","~","","Custom:BN-880","1"
"U5","~","150-SMDB03CE3/TR7TR-ND","Package_SO:SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm","1"
